sid,slice,mode,ip1_P1_n,ip1_P1_expectancy_R,ip1_P1_profit_factor,ip1_P1_total_R,ip1_T1_n,ip1_T1_expectancy_R,ip1_T1_profit_factor,ip1_T1_total_R,ip1_P2_n,ip1_P2_expectancy_R,ip1_P2_profit_factor,ip1_P2_total_R,ip1_T2_n,ip1_T2_expectancy_R,ip1_T2_profit_factor,ip1_T2_total_R,tuned_P1_n,tuned_P1_expectancy_R,tuned_P1_profit_factor,tuned_P1_total_R,tuned_T1_n,tuned_T1_expectancy_R,tuned_T1_profit_factor,tuned_T1_total_R,tune_P1_seconds,tune_P1_evals,tune_P1_stage,tune_P1_ip,tune_P1_risk,tuned_P2_n,tuned_P2_expectancy_R,tuned_P2_profit_factor,tuned_P2_total_R,tuned_T2_n,tuned_T2_expectancy_R,tuned_T2_profit_factor,tuned_T2_total_R,tune_P2_seconds,tune_P2_evals,tune_P2_stage,tune_P2_ip,tune_P2_risk
B|trend|mama_fama_signals|coral_signals|variance_volume_signals|tma_baseline,B-trend,B,166,0.4644479749415426,2.414620845160018,77.09836384029607,22,-0.3263963021221772,0.2249175017427053,-7.1807186466878985,166,0.4771515774990945,2.4997529982257944,79.2071618648497,36,-0.1499962575925661,0.5830061139811894,-5.399865273332381,100,1.1109397571782058,7.5420918542406445,111.09397571782058,14,-0.3090461068298349,0.1984666940236024,-4.326645495617689,135.2,559,full,"{""base"": {""length"": 20}, ""c1"": {""fast_limit"": 0.5, ""slow_limit"": 0.040557}, ""c2"": {""const_d"": 7, ""smooth_period"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 3, ""atr_mult"": 1.45, ""be_pct"": 0.01, ""tp_mult"": 1.1, ""trail_arm"": 1.0, ""trail_mult"": 1.9}",108,1.2190870413517478,6.046832571803941,131.66140046598878,32,-0.2374956646063578,0.3670853350833258,-7.599861267403452,131.8,559,full,"{""base"": {""length"": 37}, ""c1"": {""fast_limit"": 0.05, ""slow_limit"": 0.026683}, ""c2"": {""const_d"": 7, ""smooth_period"": 19}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 37}}","{""atr_len"": 3, ""atr_mult"": 1.32, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 1.25, ""trail_mult"": 1.75}"
B|trend|kalman_filter_signals|kase_peak_oscillator_signals|efficiency_ratio_volume_signals|t3_baseline,B-trend,B,116,0.1026048770262457,1.4327695662354238,11.902165735044502,10,-0.069928312768277,0.6526891360096171,-0.6992831276827702,120,0.0893151590181699,1.3802502602925215,10.71781908218039,12,-0.1947078980569652,0.4365826834545668,-2.336494776683583,102,1.6822768727852928,10.009793102697756,171.59224102409988,14,-0.2082948920785487,0.3544605772974945,-2.916128489099682,57.3,553,full,"{""base"": {""length"": 12, ""volume_factor"": 0.567792}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""long_cycle"": 80, ""sharpness"": 40, ""short_cycle"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 12}}","{""atr_len"": 4, ""atr_mult"": 1.31, ""be_pct"": 0.01, ""tp_mult"": 1.6, ""trail_arm"": 1.0, ""trail_mult"": 1.35}",100,2.417365539094965,16.003967966676644,241.73655390949648,2,-0.5788191814419961,0.0,-1.157638362883992,46.4,553,full,"{""base"": {""length"": 19, ""volume_factor"": 1.311672}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""long_cycle"": 10, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 66}}","{""atr_len"": 2, ""atr_mult"": 1.1, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.1, ""trail_mult"": 0.5}"
B|trend|vortex_signals|mama_fama_signals|variance_volume_signals|ema_baseline,B-trend,B,124,0.753583024244184,3.8937671641809586,93.44429500627882,20,-0.2594848711268027,0.037428912779734,-5.189697422536055,126,0.6691056403337907,3.686226629692305,84.30731068205763,24,0.1928390252871478,1.7437664069076435,4.628136606891549,104,1.1497998318142837,5.939059196730446,119.5791825086855,26,0.0100259276352559,1.0476397115312692,0.2606741185166554,133.4,539,full,"{""base"": {""ma_length"": 20}, ""c1"": {""period"": 140}, ""c2"": {""fast_limit"": 0.616423, ""slow_limit"": 0.093691}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 4, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.05, ""trail_arm"": 1.55, ""trail_mult"": 1.95}",132,1.094900751375326,6.269557270049924,144.52689918154303,34,-0.2655040057770383,0.1943229209010731,-9.027136196419304,137.6,539,full,"{""base"": {""ma_length"": 25}, ""c1"": {""period"": 140}, ""c2"": {""fast_limit"": 0.266835, ""slow_limit"": 0.093691}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.41, ""be_pct"": 0.01, ""tp_mult"": 2.3, ""trail_arm"": 1.1, ""trail_mult"": 1.65}"
B|trend|ehlers_reverse_ema_signals|ichimoku_signals|chaikin_volatility_volume_signals|tma_baseline,B-trend,B,170,0.6519725919760619,3.4473387901755617,110.83534063593052,42,-0.1248113225344458,0.6540686954937529,-5.242075546446724,178,0.5422383039589094,2.841088770247635,96.51841810468588,38,-0.2584171031892912,0.4226059632525755,-9.819849921193065,100,1.11980201068066,4.887954599773042,111.980201068066,20,-0.1106885184021363,0.6787734689966655,-2.2137703680427268,44.6,559,full,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.284804}, ""c2"": {""base_len"": 26, ""conversion_len"": 9, ""displacement"": 26, ""span_b_len"": 52}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 12}}","{""atr_len"": 4, ""atr_mult"": 1.28, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 0.6}",104,0.9415315426465628,4.974652824309222,97.91928043524253,30,0.1053359194056562,1.414342554980806,3.160077582169686,48.2,559,full,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.187382}, ""c2"": {""base_len"": 26, ""conversion_len"": 9, ""displacement"": 32, ""span_b_len"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 12}}","{""atr_len"": 5, ""atr_mult"": 1.35, ""be_pct"": 0.05, ""tp_mult"": 2.0, ""trail_arm"": 1.0, ""trail_mult"": 1.85}"
B|trend|supertrend_signals|halftrend_signals|chaikin_volatility_volume_signals|ema_baseline,B-trend,B,440,0.244552706701265,1.9786146639913496,107.6031909485566,58,-0.1407912152697089,0.4446189081892219,-8.16589048564312,450,0.2035997348432436,1.8144616557399904,91.61988067945964,80,0.0205491764644578,1.0807646247764202,1.64393411715663,170,0.803846943847128,5.416502173820101,136.65398045401176,32,-0.0998757180555804,0.5971323192857327,-3.1960229777785747,82.9,501,full,"{""base"": {""ma_length"": 37}, ""c1"": {""atr_period"": 8, ""factor"": 2}, ""c2"": {""amplitude"": 41}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 15}}","{""atr_len"": 4, ""atr_mult"": 1.1, ""be_pct"": 0.09, ""tp_mult"": 1.25, ""trail_arm"": 1.7, ""trail_mult"": 1.8}",176,0.7816230301787027,6.4197136037131335,137.56565331145168,38,-0.0261900238299467,0.8716047169308859,-0.9952209055379768,79.5,501,full,"{""base"": {""ma_length"": 37}, ""c1"": {""atr_period"": 43, ""factor"": 2}, ""c2"": {""amplitude"": 27}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 12}}","{""atr_len"": 2, ""atr_mult"": 1.25, ""be_pct"": 0.01, ""tp_mult"": 1.1, ""trail_arm"": 1.0, ""trail_mult"": 1.7}"
B|trend|donchian_breakout_signals|laguerre_filter_signals|variance_volume_signals|frama_baseline,B-trend,B,476,0.1233169249876193,1.4730025550218604,58.69885629410681,90,0.2422470138809591,2.384800825475039,21.80223124928632,500,0.1406254182064332,1.549407161720428,70.31270910321663,88,0.1234205970810086,1.5745102196261298,10.861012543128757,286,0.4597534817074368,2.9401544246192945,131.48949576832695,46,0.0745626247966447,1.3229800480030545,3.42988074064566,77.2,513,full,"{""base"": {""length"": 28}, ""c1"": {""length"": 11}, ""c2"": {""alpha"": 0.2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 3, ""atr_mult"": 1.48, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.5}",200,0.7424107315364142,5.0597259012113724,148.48214630728285,28,0.2017132439205388,1.904656393016512,5.647970829775087,70.4,513,full,"{""base"": {""length"": 28}, ""c1"": {""length"": 20}, ""c2"": {""alpha"": 2.0}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.43, ""be_pct"": 0.01, ""tp_mult"": 2.95, ""trail_arm"": 1.0, ""trail_mult"": 0.95}"
B|trend|waddah_attar_explosion_signals|fx_sniper_ergodic_cci_signals|williams_vix_fix_volume_signals|sma_baseline,B-trend,B,90,0.046414941692232,1.1386391343610145,4.177344752300882,6,-0.0799486212524839,0.7638815530483091,-0.4796917275149037,86,0.046216058429212,1.136911719771914,3.974581024912238,6,0.1000544274882675,1.4284713702493446,0.6003265649296053,106,0.3586274661489497,2.446911987950805,38.014511411788675,14,-0.0058233452402692,0.9842042892896472,-0.0815268333637688,121.6,637,full,"{""base"": {""length"": 25}, ""c1"": {""bbLen"": 132, ""bbStd"": 2, ""fastEma"": 2, ""sensitivity"": 150, ""slowEma"": 21}, ""c2"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 33}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 8}}","{""atr_len"": 40, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.45, ""trail_mult"": 1.45}",108,0.2883180515110009,1.9521873465651092,31.1383495631881,10,1.2385262846313247,10.99524552443904,12.385262846313248,117.5,637,full,"{""base"": {""length"": 25}, ""c1"": {""bbLen"": 132, ""bbStd"": 2, ""fastEma"": 200, ""sensitivity"": 15, ""slowEma"": 400}, ""c2"": {""cci_length"": 140, ""ema1_length"": 9, ""ema2_length"": 3, ""trigger_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 40, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 2.85, ""trail_arm"": 1.05, ""trail_mult"": 1.4}"
B|trend|bears_bulls_impulse_signals|fx_sniper_ergodic_cci_signals|variance_volume_signals|tma_baseline,B-trend,B,248,0.3462722134344133,2.07329986739657,85.8755089317345,36,0.2353632987964022,2.055953900053439,8.473078756670482,244,0.3499881992669149,2.112392076407067,85.39712062112723,52,-0.1725183568360941,0.593861066155467,-8.970954555476897,104,1.2780785563550825,5.435611672316555,132.92016986092855,20,-0.3623109680212384,0.2253943004314577,-7.246219360424768,71.7,563,full,"{""base"": {""length"": 37}, ""c1"": {""length"": 5}, ""c2"": {""cci_length"": 61, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 9}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 2, ""atr_mult"": 1.05, ""be_pct"": 0.09, ""tp_mult"": 3.0, ""trail_arm"": 1.35, ""trail_mult"": 0.5}",106,0.995541887427762,5.403366022454081,105.52744006734277,18,0.1453099216920402,1.6311892600387428,2.615578590456724,67.8,563,full,"{""base"": {""length"": 25}, ""c1"": {""length"": 37}, ""c2"": {""cci_length"": 17, ""ema1_length"": 5, ""ema2_length"": 4, ""trigger_length"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 3, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 1.3, ""trail_arm"": 1.0, ""trail_mult"": 1.35}"
B|trend|vortex_signals|center_of_gravity_signals|williams_vix_fix_volume_signals|mcginley_dynamic_index,B-trend,B,118,0.2179718974433424,1.9497342752028932,25.720683898314405,20,0.2212354482390107,1.9285080302329611,4.424708964780214,116,0.1526271914937993,1.609947692271398,17.704754213280726,14,0.0178900855195337,1.063293532865643,0.2504611972734724,104,0.5172060803987968,3.7165566994262895,53.789432361474866,14,0.1706670564524905,1.723321966055842,2.3893387903348677,27.1,513,full,"{""base"": {""mci_length"": 7}, ""c1"": {""period"": 14}, ""c2"": {""length"": 8, ""signal_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 20, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 46, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 2.0, ""trail_mult"": 1.95}",100,0.4267339495052036,3.081731994224226,42.67339495052036,12,0.5165222626830902,4.660232086917697,6.198267152197083,28.9,513,full,"{""base"": {""mci_length"": 14}, ""c1"": {""period"": 14}, ""c2"": {""length"": 10, ""signal_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 11, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 45, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.25, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|coppock_curve_signals|laguerre_filter_signals|variance_volume_signals|frama_baseline,B-trend,B,560,0.1077316279496168,1.4169123397417691,60.32971165178543,110,0.1349515479786755,1.7371173924842422,14.844670277654313,588,0.1254695256094881,1.5106613328576566,73.77608105837905,122,0.1445498859042361,1.658884032041536,17.63508608031681,222,1.518389442883416,7.647602106675342,337.08245632011835,38,0.0586442897998061,1.2531550050323264,2.228483012392634,85.4,553,full,"{""base"": {""length"": 5}, ""c1"": {""long_roc"": 140, ""short_roc"": 3, ""smooth_len"": 100}, ""c2"": {""alpha"": 0.569607}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 5, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.45, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.45, ""trail_mult"": 0.5}",346,0.9991753043748004,5.3263837372863305,345.71465531368096,66,0.1056172567125376,1.4895002831166329,6.970738943027487,91.7,553,full,"{""base"": {""length"": 5}, ""c1"": {""long_roc"": 17, ""short_roc"": 6, ""smooth_len"": 12}, ""c2"": {""alpha"": 0.162226}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 43, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.47, ""be_pct"": 0.05, ""tp_mult"": 2.8, ""trail_arm"": 1.3, ""trail_mult"": 0.65}"
B|trend|schaff_trend_cycle_signals|bears_bulls_impulse_signals|variance_volume_signals|mcginley_dynamic_index,B-trend,B,92,0.4796021794076657,2.137093022672976,44.123400505505245,16,-0.1790150084755483,0.4609229135476523,-2.864240135608773,90,0.5112955717585266,2.256879462396157,46.01660145826739,16,-0.4399577159732661,0.0,-7.039323455572259,106,1.1716492234312117,6.432612119380501,124.19481768370844,24,0.1134612548931919,1.6523456209855374,2.7230701174366065,86.4,609,full,"{""base"": {""mci_length"": 14}, ""c1"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 23, ""macdSlow"": 142, ""stc_midline"": 50, ""upperBand"": 75}, ""c2"": {""length"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 16, ""hline"": 0, ""lookback"": 87}}","{""atr_len"": 2, ""atr_mult"": 1.31, ""be_pct"": 0.01, ""tp_mult"": 1.35, ""trail_arm"": 1.0, ""trail_mult"": 0.5}",100,1.269465098315078,6.180224649687573,126.94650983150784,24,0.0193766469627033,1.0726890786071797,0.4650395271048806,85.1,609,full,"{""base"": {""mci_length"": 14}, ""c1"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 28, ""macdSlow"": 94, ""stc_midline"": 94, ""upperBand"": 75}, ""c2"": {""length"": 13}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 16, ""hline"": 0, ""lookback"": 37}}","{""atr_len"": 2, ""atr_mult"": 1.47, ""be_pct"": 0.01, ""tp_mult"": 1.75, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|coppock_curve_signals|kase_peak_oscillator_signals|variance_volume_signals|sma_baseline,B-trend,B,96,0.7889192426590405,4.19800505361425,75.73624729526789,10,-0.1640369961551017,0.5596855269919975,-1.6403699615510177,94,0.7129143330087611,3.6609317058014983,67.01394730282354,26,-0.2419568069420916,0.2654805793900481,-6.2908769804943825,100,1.618015405489619,7.908421310187812,161.8015405489619,14,0.0172499340087825,1.1357874803317476,0.2414990761229563,71.1,601,full,"{""base"": {""length"": 25}, ""c1"": {""long_roc"": 14, ""short_roc"": 14, ""smooth_len"": 8}, ""c2"": {""long_cycle"": 185, ""sharpness"": 40, ""short_cycle"": 15}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 3, ""atr_mult"": 1.25, ""be_pct"": 0.01, ""tp_mult"": 1.15, ""trail_arm"": 1.0, ""trail_mult"": 1.8}",100,1.1465769792963831,7.28575826819463,114.6576979296383,20,-0.343809403776524,0.1883494580984887,-6.8761880755304805,58.8,601,full,"{""base"": {""length"": 20}, ""c1"": {""long_roc"": 140, ""short_roc"": 14, ""smooth_len"": 43}, ""c2"": {""long_cycle"": 65, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 3, ""atr_mult"": 1.27, ""be_pct"": 0.05, ""tp_mult"": 1.35, ""trail_arm"": 1.0, ""trail_mult"": 1.65}"
B|trend|trend_direction_force_index_signals|rex_oscillator_signals|variance_volume_signals|mcginley_dynamic_index,B-trend,B,128,0.447561861733606,2.1646026052500407,57.28791830190157,24,-0.6542918040606157,0.0,-15.703003297454778,134,0.29640323061372,1.6802495460439677,39.71803290223848,32,0.3789404712513119,2.399717216959131,12.12609508004198,110,1.0372845978167595,4.410852094976056,114.10130575984356,20,-0.0010236930067044,0.9963919184660373,-0.0204738601340899,77.3,673,full,"{""base"": {""mci_length"": 11}, ""c1"": {""fhigh"": 0.5, ""flow"": -0.05, ""lookback"": 11}, ""c2"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 27, ""sigVolAdj"": 10, ""smooth"": 11, ""volAdj"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 57}}","{""atr_len"": 4, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.9, ""trail_arm"": 1.0, ""trail_mult"": 1.65}",100,0.1779773765536245,1.7007882886830468,17.79773765536245,16,0.0959951866162933,1.455749584643645,1.5359229858606942,82.0,673,full,"{""base"": {""mci_length"": 11}, ""c1"": {""fhigh"": 0.328967, ""flow"": -0.040557, ""lookback"": 13}, ""c2"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 145, ""sigVolAdj"": 10, ""smooth"": 14, ""volAdj"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 2}}","{""atr_len"": 43, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 1.55, ""trail_arm"": 1.05, ""trail_mult"": 1.5}"
B|trend|coral_signals|chandelier_exit_signals|variance_volume_signals|frama_baseline,B-trend,B,352,0.1883191234957856,1.7134767846862244,66.28833147051655,54,0.031991353162559,1.1163666129231329,1.7275330707781895,358,0.178642923060308,1.6645911709988737,63.95416645559029,78,-0.1612555924369381,0.55066975421859,-12.577936210081171,126,0.5946039385982134,3.215757017702507,74.92009626337489,22,0.2451637276914225,2.7251574026162153,5.393602009211297,75.6,545,full,"{""base"": {""length"": 10}, ""c1"": {""const_d"": 26, ""smooth_period"": 12}, ""c2"": {""atr_mult"": 3, ""atr_period"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 19, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 1.95, ""trail_arm"": 1.0, ""trail_mult"": 0.9}",126,0.5563151779303984,3.247338514555288,70.0957124192302,24,0.0843848274988831,1.3233535079228391,2.025235859973196,76.2,545,full,"{""base"": {""length"": 8}, ""c1"": {""const_d"": 14, ""smooth_period"": 12}, ""c2"": {""atr_mult"": 3, ""atr_period"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 31, ""atr_mult"": 1.05, ""be_pct"": 0.01, ""tp_mult"": 1.5, ""trail_arm"": 1.0, ""trail_mult"": 0.5}"
B|trend|vortex_signals|halftrend_signals|variance_volume_signals|t3_baseline,B-trend,B,150,0.4740109841169702,2.3865871470362596,71.10164761754554,10,-0.5327576570903618,0.0,-5.327576570903618,112,0.6732579634032216,2.9565388305079225,75.40489190116082,16,-0.3950473555295665,0.225436683954054,-6.320757688473064,100,1.476575215934912,5.5629295745370815,147.65752159349125,12,-0.4160907636759192,0.0391885153598048,-4.993089164111031,80.9,535,full,"{""base"": {""length"": 19, ""volume_factor"": 0.373569}, ""c1"": {""period"": 14}, ""c2"": {""amplitude"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 4, ""atr_mult"": 1.26, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.6}",102,1.2010661443948696,7.213328213750261,122.5087467282767,14,-0.1040334723055602,0.6707430090149411,-1.456468612277844,79.0,535,full,"{""base"": {""length"": 19, ""volume_factor"": 1.993625}, ""c1"": {""period"": 14}, ""c2"": {""amplitude"": 41}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 6, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 1.95, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|ichimoku_signals|coral_signals|chaikin_volatility_volume_signals|sma_baseline,B-trend,B,124,0.4580229907201499,2.400428536336398,56.79485084929859,18,-0.099406018232786,0.6638643286035388,-1.789308328190148,106,0.4786464035663434,2.390027825096694,50.736518778032405,16,-0.2090851742017486,0.397983166696949,-3.3453627872279785,100,1.1288374668466623,6.976907188658606,112.88374668466622,28,-0.1180674440525112,0.5264642773281721,-3.305888433470314,44.4,577,full,"{""base"": {""length"": 25}, ""c1"": {""base_len"": 21, ""conversion_len"": 9, ""displacement"": 21, ""span_b_len"": 97}, ""c2"": {""const_d"": 14, ""smooth_period"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 10}}","{""atr_len"": 4, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.0, ""trail_mult"": 1.8}",108,1.0261269553096324,7.003756849330605,110.8217111734403,26,-0.3076285810031982,0.2072183919086313,-7.998343106083152,43.3,577,full,"{""base"": {""length"": 25}, ""c1"": {""base_len"": 21, ""conversion_len"": 9, ""displacement"": 49, ""span_b_len"": 64}, ""c2"": {""const_d"": 11, ""smooth_period"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 22}}","{""atr_len"": 4, ""atr_mult"": 1.05, ""be_pct"": 0.01, ""tp_mult"": 1.3, ""trail_arm"": 1.0, ""trail_mult"": 1.9}"
