pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
EURCHF,2016-01-04,2,2.0,1,0.08477444327236264,0.16954888654472527,EUR,CHF
NZDJPY,2016-01-04,2,2.0,-1,0.6666666666666665,1.333333333333333,NZD,JPY
USDJPY,2016-01-04,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
AUDUSD,2016-01-05,1,1.0,-1,0.6833333333333332,0.6833333333333332,AUD,USD
EURCHF,2016-01-05,2,2.0,1,0.08477444327236264,0.16954888654472527,EUR,CHF
NZDJPY,2016-01-05,2,2.0,-1,0.6666666666666665,1.333333333333333,NZD,JPY
USDJPY,2016-01-05,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
AUDCHF,2016-01-06,2,2.0,-1,0.8375000000000001,1.6750000000000003,AUD,CHF
AUDUSD,2016-01-06,1,1.0,-1,0.6833333333333332,0.6833333333333332,AUD,USD
EURCHF,2016-01-06,2,2.0,1,0.08477444327236264,0.16954888654472527,EUR,CHF
NZDJPY,2016-01-06,2,2.0,-1,0.6666666666666665,1.333333333333333,NZD,JPY
USDJPY,2016-01-06,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
AUDCHF,2016-01-07,2,2.0,-1,0.8375000000000001,1.6750000000000003,AUD,CHF
AUDUSD,2016-01-07,1,1.0,-1,0.6833333333333332,0.6833333333333332,AUD,USD
EURCHF,2016-01-07,2,2.0,1,0.08477444327236264,0.16954888654472527,EUR,CHF
GBPCHF,2016-01-07,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-07,2,2.0,-1,0.22857142857142854,0.4571428571428571,NZD,CHF
NZDJPY,2016-01-07,1,1.0,-1,0.7499999999999999,0.7499999999999999,NZD,JPY
USDJPY,2016-01-07,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
EURCHF,2016-01-08,2,2.0,1,0.08477444327236264,0.16954888654472527,EUR,CHF
GBPCHF,2016-01-08,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-08,2,2.0,-1,0.22857142857142854,0.4571428571428571,NZD,CHF
