structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.792297674303934,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,24.172912821880637
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.4947038467609155,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,21.919212663769194
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.8029574688192143,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,22.132922246698634
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,1.453451180421915,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,18.052441479072005
ALLPASS,3,2013-2017,2018-2018,False,250,250,5,1.7449652044754467,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,16.223323985539338
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,5,1.4913446522567968,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,15.389366001577814
ALLPASS,4,2014-2018,2019-2019,False,249,249,6,1.882855208768861,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,17.2447497985992
SLICE_BALANCED,4,2014-2018,2019-2019,False,249,249,6,1.5965810937749392,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,16.775854402758476
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,2.024566740088786,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,19.968830571215236
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,1.514908318970606,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,14.612778510029736
