sid,slice,mode,window,build_end,grade_year,trade_start,tune_evals,tune_seconds,tune_stage,ip,risk,routed_build_n,routed_build_expectancy_R,routed_build_total_R,routed_build_profit_factor,routed_build_sharpe,routed_build_sortino,routed_build_calmar,routed_build_max_dd_R,routed_build_win_rate,routed_build_avg_win_R,routed_build_avg_loss_R,routed_build_g3,routed_build_pass2,routed_grade_n,routed_grade_expectancy_R,routed_grade_total_R,routed_grade_profit_factor,routed_grade_sharpe,routed_grade_sortino,routed_grade_calmar,routed_grade_max_dd_R,routed_grade_win_rate,routed_grade_avg_win_R,routed_grade_avg_loss_R,routed_grade_g3,routed_grade_pass2,routed_trade_n,routed_trade_expectancy_R,routed_trade_total_R,routed_trade_profit_factor,routed_trade_sharpe,routed_trade_sortino,routed_trade_calmar,routed_trade_max_dd_R,routed_trade_win_rate,routed_trade_avg_win_R,routed_trade_avg_loss_R,routed_trade_g3,routed_trade_pass2,routed_Y2006_expectancy_R,routed_Y2006_n,routed_Y2007_expectancy_R,routed_Y2007_n,routed_Y2008_expectancy_R,routed_Y2008_n,routed_Y2009_expectancy_R,routed_Y2009_n,routed_Y2010_expectancy_R,routed_Y2010_n,routed_Y2011_expectancy_R,routed_Y2011_n,routed_Y2012_expectancy_R,routed_Y2012_n,routed_Y2013_expectancy_R,routed_Y2013_n,routed_Y2014_expectancy_R,routed_Y2014_n,routed_Y2015_expectancy_R,routed_Y2015_n,routed_Y2016_expectancy_R,routed_Y2016_n,routed_Y2017_expectancy_R,routed_Y2017_n,routed_Y2018_expectancy_R,routed_Y2018_n,routed_Y2019_expectancy_R,routed_Y2019_n,routed_Y2020_expectancy_R,routed_Y2020_n,allon_build_n,allon_build_expectancy_R,allon_build_total_R,allon_build_profit_factor,allon_build_sharpe,allon_build_sortino,allon_build_calmar,allon_build_max_dd_R,allon_build_win_rate,allon_build_avg_win_R,allon_build_avg_loss_R,allon_build_g3,allon_build_pass2,allon_grade_n,allon_grade_expectancy_R,allon_grade_total_R,allon_grade_profit_factor,allon_grade_sharpe,allon_grade_sortino,allon_grade_calmar,allon_grade_max_dd_R,allon_grade_win_rate,allon_grade_avg_win_R,allon_grade_avg_loss_R,allon_grade_g3,allon_grade_pass2,allon_trade_n,allon_trade_expectancy_R,allon_trade_total_R,allon_trade_profit_factor,allon_trade_sharpe,allon_trade_sortino,allon_trade_calmar,allon_trade_max_dd_R,allon_trade_win_rate,allon_trade_avg_win_R,allon_trade_avg_loss_R,allon_trade_g3,allon_trade_pass2,allon_Y2006_expectancy_R,allon_Y2006_n,allon_Y2007_expectancy_R,allon_Y2007_n,allon_Y2008_expectancy_R,allon_Y2008_n,allon_Y2009_expectancy_R,allon_Y2009_n,allon_Y2010_expectancy_R,allon_Y2010_n,allon_Y2011_expectancy_R,allon_Y2011_n,allon_Y2012_expectancy_R,allon_Y2012_n,allon_Y2013_expectancy_R,allon_Y2013_n,allon_Y2014_expectancy_R,allon_Y2014_n,allon_Y2015_expectancy_R,allon_Y2015_n,allon_Y2016_expectancy_R,allon_Y2016_n,allon_Y2017_expectancy_R,allon_Y2017_n,allon_Y2018_expectancy_R,allon_Y2018_n,allon_Y2019_expectancy_R,allon_Y2019_n,allon_Y2020_expectancy_R,allon_Y2020_n,label_basis,graded_pass_routed,graded_pass_allon,passes_gate2_on_window,regime_dependent_on_window
B|trend|center_of_gravity_signals|schaff_trend_cycle_signals|variance_volume_signals|lsma_baseline,B-trend,B,2011-2014,2014,2015,2016,622,96.3,full,"{""base"": {""length"": 57, ""lsma_offset"": 0}, ""c1"": {""length"": 10, ""signal_length"": 3}, ""c2"": {""cycleLen"": 5, ""d1"": 4, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 66, ""macdSlow"": 5, ""stc_midline"": 41, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 2, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 11}}","{""atr_len"": 38, ""atr_mult"": 1.44, ""be_pct"": 0.05, ""tp_mult"": 2.9, ""trail_arm"": 1.0, ""trail_mult"": 1.95}",148,0.4470297203996724,66.16039861915152,3.2838577516048812,5.876400177596209,28.663798443726982,14.47454151053718,4.570811349774917,0.5,1.285528410428072,-0.3914689696287273,5,True,42,-0.0920120332611727,-3.8645053969692533,0.6902305167979431,-2.2730889754808077,-6.075401055995084,-0.831077366241497,4.649994758546094,0.19047619047619047,1.0763647252086788,-0.36692421172466727,0,False,14,0.5091789282143615,7.128504995001061,11.855414555367073,10.113260507748363,74.70070221991752,10.855414555367078,0.6566773621258547,0.7142857142857143,0.7785182357126914,-0.1641693405314637,5,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.0920120332611727,42,0.5091789282143615,14,0.08168392830243633,28,0.1758179398663079,34,0.1364813591948093,40,0.25289702875460285,24,542,0.10946286879119908,59.3288748848299,1.424001350416665,1.870935715034634,7.672311930901021,4.050224351796282,14.648293460217195,0.3339483394833948,1.1008564692666303,-0.38760705277681495,3,True,132,0.13761926967213506,18.16574359672183,1.5251583047328192,2.504092964875388,8.737611673352783,1.9623527716764977,9.257124335092044,0.36363636363636365,1.0990985344521864,-0.41179745305932275,3,True,98,0.10024399122896341,9.823911140438414,1.4021585557965548,1.8169303855942218,6.639118783429921,1.305367763242683,7.525780409985531,0.32653061224489793,1.0703708197308,-0.37012053168101794,2,True,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.13761926967213506,132,0.10024399122896341,98,0.10180862383591364,120,0.06025928585907832,128,-0.07544357506285537,160,-0.04965303291469904,132,G2015_blind,False,True,True,True
B|trend|center_of_gravity_signals|schaff_trend_cycle_signals|variance_volume_signals|lsma_baseline,B-trend,B,2012-2015,2015,2016,2017,622,121.0,full,"{""base"": {""length"": 25, ""lsma_offset"": 0}, ""c1"": {""length"": 12, ""signal_length"": 4}, ""c2"": {""cycleLen"": 8, ""d1"": 9, ""d2"": 13, ""lowerBand"": 25, ""macdFast"": 12, ""macdSlow"": 62, ""stc_midline"": 50, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 2, ""atr_mult"": 1.49, ""be_pct"": 0.16, ""tp_mult"": 3.0, ""trail_arm"": 1.45, ""trail_mult"": 0.8}",270,0.9791272539756777,264.364358573433,6.176810359755067,1.0661183831402201,73.77624467857082,34.483463439774205,7.666409699105445,0.36666666666666664,3.1861756980139857,-0.298637634678079,5,True,58,-0.08093861058284893,-4.694439413805238,0.5961681920737399,-2.861733189951215,-7.344857886853728,-0.6283623811877044,7.470910981227114,0.2413793103448276,0.4950214072854478,-0.264198616268216,0,False,54,0.016415373309140533,0.8864301586935888,1.0909322020780305,0.4456817516281601,1.144226239992737,0.15305197691858544,5.791693622912933,0.4074074074074074,0.48339471252046523,-0.30463292239864526,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.08093861058284893,58,0.016415373309140533,54,0.026057954562180293,58,0.24265631288949785,34,-0.11438972820156493,72,1100,0.2741040070145671,301.5144077160238,2.312650910630593,0.6003743079967994,20.16070574016535,13.445350268811586,22.425180578257574,0.3618181818181818,1.3347066835982766,-0.32720634238759283,5,True,274,-0.023771552969088224,-6.513405513530174,0.8830315329920319,-0.711742798437514,-1.9023561446203405,-0.40173122304942693,16.213341507510354,0.3248175182481752,0.5524914037777042,-0.3010007591878154,0,False,278,-0.009433126272234962,-2.6224091036813193,0.955484412276664,-0.261272471261553,-0.7063266344349436,-0.17370279673970274,15.09710351763106,0.3345323741007194,0.6052419058223132,-0.31843192619003485,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.023771552969088224,274,-0.009433126272234962,278,0.13969777330814945,312,-0.05872050990206515,278,-0.09247078055431404,300,G2016_blind,False,False,True,True
B|trend|center_of_gravity_signals|schaff_trend_cycle_signals|variance_volume_signals|lsma_baseline,B-trend,B,2013-2016,2016,2017,2018,622,89.0,full,"{""base"": {""length"": 37, ""lsma_offset"": 0}, ""c1"": {""length"": 10, ""signal_length"": 4}, ""c2"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 4, ""lowerBand"": 25, ""macdFast"": 43, ""macdSlow"": 50, ""stc_midline"": 62, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 1.0, ""trail_arm"": 1.0, ""trail_mult"": 0.5}",134,0.8268584641643222,110.79903419801917,5.150228085549543,1.3235349525044597,70.08023042154964,12.075056966595685,9.175860164016823,0.3880597014925373,2.6441563340971945,-0.3255743314028651,5,True,32,0.2243384209544722,7.178829470543111,2.735038169832727,7.669234548221158,17.432453330374543,3.429120291974572,2.0934901255416047,0.6875,0.5143814690032387,-0.413756284752814,4,True,28,-0.22654621932383626,-6.343294141067415,0.29290492666532036,-9.471667593598145,-23.855910449531574,-0.9308323286762722,6.814647435041446,0.21428571428571427,0.43793783308459805,-0.40776914270795467,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.2243384209544722,32,-0.22654621932383626,28,0.08163548081167428,38,0.017469609043170287,20,452,0.22188591203411173,100.2924322394185,2.0603529745209666,0.6506018804458784,19.729022370318326,5.798343211819297,17.296739529833832,0.37831858407079644,1.1396282945434633,-0.33659788657478196,5,True,118,0.1568851826119913,18.512451548214973,2.1858201711769025,5.56628219437157,13.241060229451408,7.1203824149504715,2.5999237778781215,0.559322033898305,0.517029823765835,-0.30022147731404103,5,True,128,0.03086476324129126,3.9506896948852814,1.1513482888379976,0.922287962014003,2.499806545689448,0.5243959818034517,7.533790936571355,0.4140625,0.5670563977261521,-0.34804399179467704,1,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.1568851826119913,118,0.03086476324129126,128,0.011122128522743977,118,-0.022325742536784307,108,G2017_blind,True,True,True,True
B|trend|center_of_gravity_signals|schaff_trend_cycle_signals|variance_volume_signals|lsma_baseline,B-trend,B,2014-2017,2017,2018,2019,622,84.5,full,"{""base"": {""length"": 37, ""lsma_offset"": 0}, ""c1"": {""length"": 10, ""signal_length"": 4}, ""c2"": {""cycleLen"": 12, ""d1"": 4, ""d2"": 4, ""lowerBand"": 25, ""macdFast"": 28, ""macdSlow"": 62, ""stc_midline"": 62, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 1.65, ""trail_arm"": 1.0, ""trail_mult"": 0.9}",120,1.0578238866395766,126.93886639674919,6.846649783445454,1.6040577276882884,92.68984163732337,26.852497428101636,4.727264819096689,0.4583333333333333,2.7027318497601254,-0.3340213129239647,5,True,26,-0.30458411552078396,-7.919187003540383,0.14408310089956902,-14.730451308455757,-29.737878986954136,-0.9073112820420108,8.728191922971927,0.07692307692307693,0.6665489495959703,-0.38551187094718015,0,False,36,0.11914714750326863,4.289297310117671,1.660837583392149,3.4947752645543644,9.889546688862966,1.1609774591022508,3.694556923985808,0.4722222222222222,0.6341173826901281,-0.34161569450602663,3,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.30458411552078396,26,0.11914714750326863,36,0.1001233568874621,20,434,0.2814919529729846,122.16750759027533,2.325595436257872,0.8081291740515,25.61744234964573,7.339905572968119,16.64428872766453,0.3548387096774194,1.3917401590683522,-0.32914456037946777,5,True,120,0.01826260094758828,2.1915121137105933,1.0769577261103478,0.46066092372409856,1.5974784323200926,0.20510341860208803,10.684912658439146,0.325,0.7863677565274378,-0.3515658072945615,1,False,118,-0.010539928293408997,-1.2437115386222617,0.9540314760572299,-0.3221861733681114,-0.994367296803377,-0.12550242408949336,9.90986068711625,0.3220338983050847,0.6792633954545599,-0.33819650707369425,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.01826260094758828,120,-0.010539928293408997,118,-0.00800785193922814,110,G2018_blind,False,False,True,True
B|trend|center_of_gravity_signals|schaff_trend_cycle_signals|variance_volume_signals|lsma_baseline,B-trend,B,2015-2018,2018,2019,2020,622,87.9,full,"{""base"": {""length"": 37, ""lsma_offset"": 0}, ""c1"": {""length"": 10, ""signal_length"": 4}, ""c2"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 2, ""lowerBand"": 25, ""macdFast"": 28, ""macdSlow"": 500, ""stc_midline"": 41, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.05, ""be_pct"": 0.04, ""tp_mult"": 1.8, ""trail_arm"": 1.0, ""trail_mult"": 0.7}",114,1.106507555791654,126.14186136024856,6.500325945953763,1.6348228217868455,91.08126727307756,13.246189419544407,9.52287917415174,0.40350877192982454,3.2407692638419343,-0.3372577173011823,5,True,34,0.10310414628375594,3.505540973647702,1.5123001735908927,2.71732707336696,9.27417034034699,0.7363790004471701,4.760511871629886,0.4117647058823529,0.7391634960833067,-0.34213739857592956,2,True,26,0.04423242866645078,1.1500431453277202,1.150783208946169,0.9607170216491301,5.160941843077222,0.20313145968148907,5.661570822810964,0.38461538461538464,0.8777173204207804,-0.4766956286800052,1,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.10310414628375594,34,0.04423242866645078,26,450,0.3230600044860093,145.3770020187042,2.577306624664668,0.9437512738721884,27.828004936714667,6.81688432444317,21.32601861783523,0.36666666666666664,1.4396659297784749,-0.32339605752541806,5,True,120,0.011202117249090978,1.3442540698909173,1.047518187288164,0.31181277396479484,1.0207231882429313,0.10861666248393645,12.376131241279136,0.3,0.8231530019861162,-0.33677683335249126,0,False,116,0.012491183081382775,1.448977237440402,1.0509962282879999,0.326733431162517,1.2172418700965377,0.11377305621880791,12.735680007169135,0.3448275862068966,0.7465599234244673,-0.37386078552024055,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.011202117249090978,120,0.012491183081382775,116,G2019_blind,True,False,True,True
B|trend|laguerre_filter_signals|dspo_signals|variance_volume_signals|rma_baseline,B-trend,B,2011-2014,2014,2015,2016,514,32.6,full,"{""base"": {""ma_length"": 25}, ""c1"": {""alpha"": 0.070224}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 43, ""atr_mult"": 1.32, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.9}",102,0.6701783070092457,68.35818731494307,3.19880130854233,1.6935330674058215,44.81272202406032,5.30004388748992,12.897664390344744,0.23529411764705882,4.14362623745478,-0.39857490235861076,4,True,16,-0.16319954537019582,-2.611192725923133,0.39292920517775615,-5.260891358378133,-13.53491259861605,-0.787291636310169,3.31667784273832,0.125,0.8450529090790326,-0.3072356102915142,0,False,12,-0.01648556074266237,-0.1978267289119484,0.9248567684278189,-0.4365292434860522,-1.9719834198746833,-0.09287302271466781,2.1300774232333115,0.16666666666666666,1.217417626192997,-0.26326619812979424,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.16319954537019582,16,-0.01648556074266237,12,-0.46395105603433984,18,-0.05007897347966332,14,-0.4120536422913872,16,-0.12295853468186377,14,342,0.2888541403805931,98.78811601016284,2.025835603075653,1.298148009923302,21.07694194311001,8.293156635394432,11.912004120185578,0.2631578947368421,2.167647330344724,-0.38214342746373936,5,True,46,-0.14327771433872344,-6.590774859581278,0.5235963037215843,-3.896311657721563,-10.366536613456704,-0.5587861243925761,11.794807658736561,0.17391304347826086,0.9054572262179592,-0.36406401761381446,0,False,82,-0.1271455717761081,-10.425936885640866,0.6132387809451828,-3.1135291046268088,-10.858484827937117,-0.39478991990852325,26.40882241384648,0.1951219512195122,1.033193820722695,-0.40843996995763615,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.14327771433872344,46,-0.1271455717761081,82,-0.19477445317753342,82,-0.11843407960785816,72,-0.29915545257290327,58,0.06188523615982749,54,G2015_blind,False,False,True,True
B|trend|laguerre_filter_signals|dspo_signals|variance_volume_signals|rma_baseline,B-trend,B,2012-2015,2015,2016,2017,514,33.0,full,"{""base"": {""ma_length"": 20}, ""c1"": {""alpha"": 0.046203}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 11}}","{""atr_len"": 24, ""atr_mult"": 1.32, ""be_pct"": 0.01, ""tp_mult"": 1.5, ""trail_arm"": 2.0, ""trail_mult"": 1.7}",102,0.864294964133251,88.1580863415916,4.9477194070021335,2.125388067869855,49.401826128497284,7.8250926296338825,11.266075753242081,0.35294117647058826,3.0691522940702334,-0.33835448855964856,4,True,32,0.08924679190202246,2.855897340864719,1.4289640270032484,1.9017165834333984,6.663886043078081,0.8013921521135962,3.563670212308118,0.3125,0.9513558965351221,-0.30262098293120465,1,True,22,-0.17285787804007074,-3.8028733168815565,0.2786862523919457,-8.16315050939107,-15.967751617711311,-0.8378012174645092,4.539111710043144,0.09090909090909091,0.7346376777910281,-0.2636074336231807,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.08924679190202246,32,-0.17285787804007074,22,-0.0777440554698018,20,-0.13116111575035874,30,-0.366729614563314,20,282,0.3831412976300593,108.04584593167671,2.607132156104013,1.5349393852277626,23.583385249050263,6.920232441793886,15.613037111173782,0.3191489361702128,1.9474979992021098,-0.35015090623183925,5,True,94,0.02112201825200898,1.9854697156888441,1.0956104391153005,0.5502796328116379,1.5530738302839016,0.19360681090237794,10.255164611383297,0.2978723404255319,0.812561207147465,-0.31464006188545734,1,False,76,-0.08597585376655002,-6.534164886257802,0.7059884174330624,-2.0983996440109323,-7.104827741335417,-0.6020922059919127,10.852432270723611,0.21052631578947367,0.9806256370541077,-0.3704029179853921,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.02112201825200898,94,-0.08597585376655002,76,-0.016113428732335826,72,-0.16043849219468137,70,0.0688010405956114,58,G2016_blind,True,False,True,True
B|trend|laguerre_filter_signals|dspo_signals|variance_volume_signals|rma_baseline,B-trend,B,2013-2016,2016,2017,2018,514,43.5,full,"{""base"": {""ma_length"": 25}, ""c1"": {""alpha"": 0.569607}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.39, ""be_pct"": 0.01, ""tp_mult"": 2.0, ""trail_arm"": 1.85, ""trail_mult"": 0.8}",102,1.0894835752753367,111.12732467808434,4.614853264012387,1.5674727544538625,81.51960001774658,12.310698725826589,9.02689011834483,0.30392156862745096,4.5764254167404905,-0.43298398930804,5,True,44,-0.1315889264935511,-5.789912765716249,0.6289997436222222,-2.832841377321562,-10.04883180056477,-0.626163199910525,9.246651298804517,0.1590909090909091,1.4023300456475645,-0.4217898131148432,0,False,30,-0.13003158390533648,-3.9009475171600947,0.680560495867705,-2.533307267009757,-10.550334244743693,-0.6657293739775423,5.8596595998957515,0.2,1.3851505226546614,-0.508827110545336,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.1315889264935511,44,-0.13003158390533648,30,0.3678497907797241,22,0.03148192252133289,52,510,0.21720305929592607,110.7735602409223,1.6685559346564471,0.6912847518340538,14.819528789592972,3.609567311837965,30.68887505647241,0.3,1.8069565303711357,-0.4641198568791638,4,True,152,-0.14936780777088707,-22.703906781174833,0.5676243740517793,-3.415828281765786,-7.0585127989235295,-0.8783496055107117,25.848371353196846,0.18421052631578946,1.0644919851585608,-0.4234651803678591,0,False,120,0.054885615424484085,6.58627385093809,1.1799574581347265,1.0901381644184518,3.9293203261498384,0.9142043249727528,7.204378355062353,0.30833333333333335,1.167171191651174,-0.44095253301391985,1,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.14936780777088707,152,0.054885615424484085,120,-0.05662086492123775,168,0.027400366900604368,194,G2017_blind,False,False,True,True
B|trend|laguerre_filter_signals|dspo_signals|variance_volume_signals|rma_baseline,B-trend,B,2014-2017,2017,2018,2019,514,42.1,full,"{""base"": {""ma_length"": 25}, ""c1"": {""alpha"": 0.569607}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 87}}","{""atr_len"": 2, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 1.9, ""trail_arm"": 1.0, ""trail_mult"": 0.95}",104,1.105270024404843,114.94808253810366,4.9458060934995185,1.6062959187186754,106.44664494818838,31.8894989299251,3.6045747470254668,0.3173076923076923,4.366054347798169,-0.41030578787656224,5,True,22,-0.09428371001007124,-2.074241620221567,0.7180627520160641,-2.075777277237241,-8.895421605506366,-0.48708917487782544,4.258443273229878,0.18181818181818182,1.3207155642019162,-0.40872799316829067,0,False,16,0.47486832574278137,7.597893211884502,4.539518954746215,10.462479475126303,31.129504252373046,3.615605989236656,2.1014162589902683,0.625,0.974448242613248,-0.3577648690413297,4,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.09428371001007124,22,0.47486832574278137,16,-0.125338561211425,36,458,0.18429754962262745,84.40827772716338,1.6049841973877146,0.5585176621275044,17.971125057516492,3.5643220656365178,23.681439604164872,0.2554585152838428,1.9139293714150591,-0.40915383791319226,4,True,118,0.005444426340959655,0.6424423082332393,1.0183986021467186,0.1246429558898427,0.6247219721202942,0.09552792132989245,6.725178348795572,0.3135593220338983,0.961092915598432,-0.4310863650482562,0,False,150,-0.01387518063207499,-2.0812770948112487,0.9509169428043865,-0.3456387325880467,-1.3175158444671344,-0.18952627844454706,10.981469756555176,0.29333333333333333,0.9164065997167412,-0.4000298819089422,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.005444426340959655,118,-0.01387518063207499,150,-0.03475485348640772,164,G2018_blind,False,False,True,True
B|trend|laguerre_filter_signals|dspo_signals|variance_volume_signals|rma_baseline,B-trend,B,2015-2018,2018,2019,2020,514,42.5,full,"{""base"": {""ma_length"": 25}, ""c1"": {""alpha"": 0.374763}, ""c2"": {""len"": 17}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 57}}","{""atr_len"": 17, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.65, ""trail_arm"": 1.25, ""trail_mult"": 1.5}",106,0.22881917974346777,24.254833052807584,1.8337158226089887,3.42364226281269,16.323128891684036,3.1353898106050533,7.735826968234931,0.330188679245283,1.5242079902166281,-0.4097527690813297,4,True,14,0.1353814557645419,1.895340380703587,1.4888187972252795,2.590373011451841,30.042648471248,1.054812113919699,1.796851169693597,0.42857142857142855,0.9621214793529923,-0.48467356192679584,2,True,40,-0.006165674574270941,-0.24662698297083763,0.9782956909166727,-0.12987054709133708,-0.5401783337333615,-0.04974482656032222,4.957841850584595,0.2,1.3895519190328147,-0.35509507297604237,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.1353814557645419,14,-0.006165674574270941,40,406,0.03493912185281735,14.185283472243842,1.1105074358056533,0.618925503160995,2.6398370327781415,0.8549957265013528,16.591057747493196,0.2561576354679803,1.3706754959076997,-0.42504956325217524,1,False,116,-0.10018405562455883,-11.621350452448825,0.7045181629480584,-2.2135483271977865,-10.548361555419985,-0.642322407353924,18.092705967278178,0.21551724137931033,1.1083527235950668,-0.4321996543112691,0,False,146,-0.0833313625779644,-12.166378936382802,0.739179757306071,-1.7271365739629612,-8.62829915349409,-0.640130007220341,19.006106258341642,0.1917808219178082,1.23143665874488,-0.39531021509524955,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.10018405562455883,116,-0.0833313625779644,146,G2019_blind,True,False,True,True
B|trend|j_tpo_signals|donchian_breakout_signals|variance_volume_signals|rma_baseline,B-trend,B,2011-2014,2014,2015,2016,540,90.6,full,"{""base"": {""ma_length"": 16}, ""c1"": {""ema_len"": 200, ""len"": 49}, ""c2"": {""length"": 20}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 4, ""atr_mult"": 1.49, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.05, ""trail_mult"": 1.3}",100,1.0326223339446146,103.26223339446145,4.966751240022447,1.9086969586209186,87.08950448784282,13.009261211802478,7.937593973497754,0.26,4.972852853108295,-0.3517829835993812,5,True,34,-0.005314738357560343,-0.18070110415705165,0.9790450276994908,-0.09472558923720245,-0.40849160304325555,-0.05678175221922475,3.182379850825935,0.23529411764705882,1.055325407901337,-0.3316655525910672,0,False,14,-0.059576228812862446,-0.8340672033800742,0.672841410253322,-1.9858142616070524,-9.432064012336665,-0.48066063327523867,1.7352517465320816,0.2857142857142857,0.4288401489036493,-0.2549427798994671,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.005314738357560343,34,-0.059576228812862446,14,0.19829708987038414,52,0.23629776557097446,24,-0.20295681057112436,20,-0.0952294326729332,26,416,0.2759954839678201,114.81412133061315,2.0614733724542407,1.0264684344606947,19.622737505600412,10.23282213907563,11.220181468040717,0.2668269230769231,2.0088196737396395,-0.35463889329339937,5,True,104,-0.06101009897883943,-6.345050293799301,0.7774464707568558,-1.2452705571332598,-4.469394528553233,-0.4753511574812436,13.348132625615124,0.21153846153846154,1.0075077574829776,-0.3476856214442049,0,False,114,-0.2938534238522428,-33.499290319155676,0.20854011503807016,-10.089682807388,-19.818664369907907,-1.005384763676197,33.31987068976982,0.11403508771929824,0.6789737050953697,-0.41906879688510384,0,False,,0,,0,,0,,0,,0,,0,,0,,0,,0,-0.06101009897883943,104,-0.2938534238522428,114,0.12824635024643627,136,0.2159974164810375,126,-0.18520335703938492,134,-0.13977383569033738,132,G2015_blind,False,False,True,True
