slice,inside,trades,mean_R,sum_R,win_rate,R_per_year
A-chop,False,24475,-0.06929495286670709,-1695.9939714126558,0.36392236976506637,-339.19879428253114
A-chop,True,13954,0.14239950108074448,1987.0426380807085,0.42690268023505806,397.40852761614167
A-trend,False,125392,-0.039109088963569114,-4903.966883319858,0.3359943218068138,-980.7933766639717
A-trend,True,26646,0.07168389118491995,1910.088964513377,0.3953689109059521,382.0177929026754
B-chop,False,23431,-0.0078026418543578275,-182.82370128945826,0.3007554095002347,-36.56474025789165
B-chop,True,14311,0.1376996791911069,1970.6201089039307,0.3438613653832716,394.12402178078617
B-trend,False,148818,-0.017707650218625994,-2635.2170902354833,0.2978470346329073,-527.0434180470967
B-trend,True,30696,0.05761521857015471,1768.556749229469,0.34278081834766744,353.7113498458938
A-chop,neither,7798,-0.03462747921975857,-270.0250829556773,0.37855860477045394,-54.00501659113546
A-chop,ranging,14096,0.14085467358970422,1985.4874789204705,0.426716799091941,397.0974957840941
A-chop,trend-in-range,6596,-0.1622960157837098,-1070.5045201093499,0.3336870830806549,-214.10090402186998
A-chop,trending,9939,-0.03560813051487976,-353.90920918738993,0.37186839722306064,-70.78184183747798
A-trend,neither,30910,-0.044619094052712034,-1379.176197169329,0.3369459721772889,-275.8352394338658
A-trend,ranging,60322,-0.04218648852427974,-2544.7733607616024,0.33442193561221445,-508.9546721523205
A-trend,trend-in-range,25682,-0.06214193325363932,-1595.929129819965,0.3224047971341796,-319.185825963993
A-trend,trending,35124,0.07191666008838445,2526.000768944415,0.39283680674182897,505.20015378888303
B-chop,neither,7695,0.040481296745020975,311.5035784529364,0.31072124756335284,62.300715690587275
B-chop,ranging,14445,0.13479081043126873,1947.053256679677,0.34233298719280025,389.41065133593537
B-chop,trend-in-range,6271,-0.05692206095654895,-356.95824425851845,0.28687609631637695,-71.39164885170369
B-chop,trending,9331,-0.012196140098555588,-113.8021832596222,0.3036116171900118,-22.76043665192444
B-trend,neither,35870,-0.01679728217123944,-602.5185114823587,0.30278784499581823,-120.50370229647174
B-trend,ranging,72690,-0.02567144913870514,-1866.0576378924766,0.29668455083230155,-373.2115275784953
B-trend,trend-in-range,30418,-0.03144610851905954,-956.527728932753,0.28220132816095733,-191.3055457865506
B-trend,trending,40536,0.06311534283850341,2558.443537301574,0.3413262285375962,511.6887074603148
